id,name,source_url,artist,license,license_url
brandenburger-tor,Brandenburger Tor,https://upload.wikimedia.org/wikipedia/commons/1/11/BerlinBrandenburgerTor1985.jpg,,,
neue-wache,Neue Wache (Berlin),https://upload.wikimedia.org/wikipedia/commons/a/a1/150419_Neue_Wache_Berlin-Mitte_HDR.jpg,,,
altes-museum-berlin,Altes Museum (Berlin),https://upload.wikimedia.org/wikipedia/commons/b/bf/Altes_Museum%2C_Berlin_2012.jpg,,,
friedrichwerdersche-kirche,Friedrichwerdersche Kirche,https://upload.wikimedia.org/wikipedia/commons/4/48/Berlin-Mitte_Friedrichswerdersche_Kirche_asv2023-09_img1.jpg,,,
schloss-glienicke,Schloss Glienicke,https://upload.wikimedia.org/wikipedia/commons/e/ed/Schloss_Glienicke_S%C3%BCden.jpg,,,
burg-stolzenfels,Burg Stolzenfels (Umbau/Planung),https://upload.wikimedia.org/wikipedia/commons/3/33/Burg_Eltz_-_Mai_2021.jpg,,,
bauakademie-berlin,Bauakademie (Berlin),https://upload.wikimedia.org/wikipedia/commons/2/24/Bauakademie_Schinkel_%28Eduard_Gaertner%29.jpg,,,
akademie-der-wissenschaften,Akademie der Wissenschaften (Athen),https://upload.wikimedia.org/wikipedia/commons/a/aa/Berlin-Brandenburgische_Akademie_der_Wissenschaften.jpg,,,
koenigsplatz-und-propylaeen,Königsplatz & Propyläen (München),https://upload.wikimedia.org/wikipedia/commons/a/af/Koenigsplatz.jpg,,,
walhalla-donaustauf,Walhalla (Donaustauf),https://upload.wikimedia.org/wikipedia/commons/c/c5/Wappen_Donaustauf.svg,,,
dom-von-regensburg,Dom von Regensburg,https://upload.wikimedia.org/wikipedia/commons/0/03/Regensburg_Dom_160910.jpg,,,
koelner-dom,Kölner Dom (Weiterbau 19. Jh.),https://upload.wikimedia.org/wikipedia/commons/a/af/K%C3%B6lner_Dom_-_Westfassade_2022_ohne_Ger%C3%BCst-0968.jpg,,,
bibliotheque-sainte-genevieve,Bibliothèque Sainte-Geneviève (Paris),https://upload.wikimedia.org/wikipedia/commons/9/9f/Biblioth%C3%A8que_St_Genevi%C3%A8ve_Paris.jpg,,,
iron-bridge,Iron Bridge (England),https://upload.wikimedia.org/wikipedia/commons/9/92/Iron_Bridge_east_side_in_February_2019_%28cropped%29.jpg,,,
crystal-palace,Crystal Palace (London),https://upload.wikimedia.org/wikipedia/commons/9/92/Crystal_Palace_from_the_northeast_from_Dickinson%27s_Comprehensive_Pictures_of_the_Great_Exhibition_of_1851._1854.jpg,,,
brooklyn-bridge,Brooklyn Bridge (New York),https://upload.wikimedia.org/wikipedia/commons/a/a4/Brooklyn_Bridge_NY.jpg,,,
tour-eiffel,Tour Eiffel (Paris),https://upload.wikimedia.org/wikipedia/commons/a/a8/Tour_Eiffel_Wikimedia_Commons.jpg,,,
pennsylvania-station,Pennsylvania Station (New York, historisch),https://upload.wikimedia.org/wikipedia/commons/9/9d/Moynihan_Train_Hall_interior%2C_Dec_27_2022.jpg,,,
forth-bridge,Forth Bridge (Schottland),https://upload.wikimedia.org/wikipedia/commons/e/e0/Forth_Bridge_2022.jpg,,,
leiter-building,Leiter Building (Chicago),https://upload.wikimedia.org/wikipedia/commons/5/5e/Seal_of_Chicago%2C_Illinois.png,,,
schlesinger-mayer-department-store,Schlesinger & Mayer Department Store (Chicago),https://upload.wikimedia.org/wikipedia/commons/1/1d/LouisSullivan.jpg,,,
flatiron-fuller-building,„Flatiron“ (Fuller Building, New York),https://upload.wikimedia.org/wikipedia/commons/1/1c/Flatiron_building_by_day_september_20004.jpg,,,
palais-stoclet,Palais Stoclet (Brüssel),https://upload.wikimedia.org/wikipedia/commons/2/22/20120923_Brussels_PalaisStoclet_Hoffmann_DSC06725_PtrQs.jpg,,,
postsparkasse-wien,Postsparkasse (Wien),https://upload.wikimedia.org/wikipedia/commons/0/0a/Otto_Wagner_Postsparkasse_Hauptfront.jpg,,,
majolikahaus-wien,Majolikahaus (Wien),https://upload.wikimedia.org/wikipedia/commons/4/41/Wienzeilenh%C3%A4user_1.JPG,,,
secession-wien,Ausstellungsgebäude der Secession (Wien),https://upload.wikimedia.org/wikipedia/commons/7/77/Secession_Building_Vienna.jpg,,,
